Reasons to Correct Entry,Unique Identifier,ID,Type,Inventory_By,Location_ID,Location,Department_ID,Department,DEPT_New,EPIC_BLDG,EPIC_DEPT,Flr Pln L,Flr Pln N,Flr Pln D,EPIC_LOC,EPIC_Room,Hostname,Serial,Tag,Domain,WS_Type,WS_Strategy,WS_Function,WS_BCA,WS_Com,WS_Mon_Make_1,WS_Mon_Mod_1,Mon 1,WS_Mon_Make_2,WS_Mon_Mod_2,Mon 2,WS_Mon_Make_3,WS_Mon_Mod_3,Mon 3,WS_Mon_Make_4,WS_Mon_Mod_4,Mon 4,WS_Mon_Com,WS_Prnt_Paper,WS_Prnt_baby_WB,WS_Prnt_WB,WS_Prnt_Pharm,WS_Prnt_Patient,WS_Prnt_Spec,WS_Prnt_Script,WS_Prnt_Local,WS_Prnt_Com,Scanner,Webcam,Bioscript,Badge Rdr,CreditCard Rdr,eSignature Pad,Barcode Rdr,WS_Peri_Com,PRNT_Type,PRNT_Queue_Name,PRNT_EPIC_Name,Network Pntr IP,PRNT_Make,PRNT_Model,PRNT_Tray_1,PRNT_Tray_2,PRNT_Tray_3,PRNT_Tray_4,PRNT_Tray_Lock,PRNT_Label_Size,PRNT_Com,BRD_Make,BRD_Model,BRD_OS,BRD_Attached,BRD_Com,BRD_Mon_Mod_1,BRD_Mon_Res_1,BRD_Mon_Orient_1,BRD_Mon_Size_1,BRD_Mon_Mod_2,BRD_Mon_Res_2,BRD_Mon_Orient_2,BRD_Mon_Size_2,BRD_Mon_Com,Duplicate_of_ID,Flr Pln D String,Flagging Reason
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",11,598753,Workstation,mmendez30,446238,Peconic Bay Medical Center,298406,CT - Social Work,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC%20Floor%203%20Sec%201%20.pdf?csf=1&web=1&e=ZnqyQZ,PBMC Floor 3 Sec 1,NOT FOUND,COMPUTER NEXT TO DOOR,TP03412,WW10RI130SOC050,MJ06T51Y,,PBMC.ORG,Desktop,Personal,Office,0,,LENOVO,E2054A,20,,,0,,,0,,,0,,10.55.2.61 - HP LASERJET M608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",12,599196,Workstation,mmendez30,446238,Peconic Bay Medical Center,298437,NRSG - Obstetrics,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_sec_2.pdf?csf=1&web=1&e=ARVx3Y,PBMC_fl_3_sec_2,NOT FOUND,AT THE END OF OR,TP03447,WRI130MAT003,MJ07SMHA,,NSLIJHS.NET,Desktop,Shared,Exam/Treatment Room,0,,AIO,,24,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",13,599204,Printer,iouedraoga,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,NOT FOUND,INTERVENTIONAL CARDIOLOGY,343,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,HP M283 COLOR LASERJET,,10.55.22.205,HP,COLOR LASERJET PRO MFP M283 FDW,PLAIN,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",14,599212,Printer,pa_jmorgan23,446238,Peconic Bay Medical Center,298425,Medical Records,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,SOLE PRINTER LOCATRED IN 2 PERSON OFFICE,3733A,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,WPIF8134C,,10.56.14.146,HP LASER JETS,M28FDN,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",15,599227,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,BACK LEFT SIDE OF OFFICE,TP02134,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Scripts,,,10.055.019.057,ZEBRA,ZT410,PRESCRIPTION STICKER,,,,1.0,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",16,599232,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,BACK RIGHT SIDE,TP02134,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,HP LASERJET M608,,169.254.166.158,HP,LASERJET ENTERPRISE M508,,PLAIN PAPER,,,2.0,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",17,599234,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,PRINTER ON DESK,TP02135,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,HP LASERJET M607,,10.55.7.97,HP,LASERJET ENTERPRISE M607,,PLAIN PAPER,,,2.0,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",18,599238,Workstation,mmendez30,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,ONLY COMPUTER IN ROOM,TP02135,WW10RI130PHM003,MJ0CKNLQ,D078952,PBMC.ORG,Desktop,Personal,Office,0,"Update - Pharmacy - Pharmacy, Update - Pharmacy - Pharmacy",LENOVO,T24I-20,24,LENOVO,T24I-20,24,,,0,,,0,,10.55.7.97-HP LASERJET M607,,,,,,,,,,LOGITECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",19,599248,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,RIGHT SIDE OF OFFICE,TP02146,LRI130PHM001,PF3HNBM3,L057768,PBMC.ORG,Laptop,Personal,Office,0,Update - Pharmacy - Pharmacy,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",20,599251,Workstation,mmendez30,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,FIRST COMPUTER ON THE RIGHT,TP02146,WW10RI130PHM004,MJ0CMM1G,D082241,PBMC.ORG,Desktop,Personal,Office,0,Update - Pharmacy - Pharmacy,NEC,,24,NEC,,24,,,0,,,0,,10.55.7.168- HP LASERJET M608,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",21,599277,Printer,mmendez30,446238,Peconic Bay Medical Center,298426,Medical Staff Affairs,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,IMMEDIATELY TO RIGHT,TP02159,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,N\A,,10.55.7.126,HP,COLOR LASERJET M452DN,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",22,599359,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298434,NRSG - Education,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,RIGHT DESK,TP02167,LW10RI130NUR009,MJ0A9K4R,L040326,PBMC.ORG,Laptop,Personal,Office,0,,,,0,,,0,,,0,,,0,,10.55.3.185 - RICOH IM 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",23,599365,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298433,NRSG - Administration,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,BACK RIGHT OFFICE,TP02149,WW10RI130NUR007,MJ083THM,D069554,PBMC.ORG,Desktop,Personal,Office,0,,DELL,P190S,19,DELL,P201H,20,,,0,,,0,,10.55.3.182 - RICOH PRINTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",24,599368,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298433,NRSG - Administration,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,RIGHT SIDE BY DOOR,TP02148,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.3.182,RICOH,MP 7503,PLAIN PAPER,PLAIN PAPER,PLAIN PAPER,,1.0,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",25,599401,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,563507,Pulmonary Medicine,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,WOW17,WOW IN RESPIRATORY WORK AREA,TP02171,HL10RI122EHS005,MJ0DVBY9,L049177,PBMC.ORG,Laptop,Shared,WOW,0,PBMCh - 2,LENOVO,T14,14,,,0,,,0,,,0,,10.55.2.196 - NPI7DC0DE,,,,,,,,,,,,,,,HONEYWELL/1950,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,WOW17,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
